TEMA,asignatura
Seguimiento de tutores,Asignatura 3
Neurona y células de glia,Asignatura 1
Dolor pélvico crónico,Asignatura 10
Histología de médula  y meninges,Asignatura 7
Seguimiento de tutores,Asignatura 3
Oxidación de ácidos grasos ,Asignatura 4
40. Laboratorio de Hematologia - Grupo A,Asignatura 10
Adaptación metabólica al ayuno,Asignatura 4
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Estructuras microscópicas riñón y vías urinarias 1,Asignatura 6
Expresando la Medicina I  Grupo 1 -Gratitud /Grupo 2 Comunicación sin daño,Asignatura 9
Sesión Ekg 4. /ejercicios integradores cardio respiratorio/ Rx tórax,Asignatura 10
Reunión con tutores,Asignatura 3
"66. Locomotor infecciosas - Artritis, Osteomielitis, Miositis",Asignatura 10
Sistema cardiorespiratorio,Asignatura 1
Comunicación,Asignatura 2
Repaso anfiteatro Neuroanatomía,Asignatura 9
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Embriología de cuello,Asignatura 1
2a Evaluación sustentación integradoras grupal,Asignatura 6
Anatomía funcional de intestinos y páncreas,Asignatura 5
Cáncer de Piel,Asignatura 1
Taller de caracterización de vulnerabilidad (Segundo avance),Asignatura 9
Farmacología y terapéutica en hipertensión arterial,Asignatura 10
1a Evaluación sustentación integradoras grupal,Asignatura 5
18. Obesidad,Asignatura 4
Sistema límbico tálamo y emoción,Asignatura 9
Laringe,Asignatua 4
55. Pie diabético,Asignatura 10
Procedimientos SNG /IM Acceso venoso / Especuloscopía/sonda vesical,Asignatura 10
Anfiteatro pulmones/Laboratorio  de vasos-  Laboratorio histología de vasos grupos 2,Asignatura 1
Chequeo semanal,Asignatura 7
40. Laboratorio de Hematologia - Grupo B,Asignatura 10
Hematoquecia /Sangrado de vías digestivas bajas (énfasis en patología neoplásica),Asignatura 5
Comunicación y cerebro social,Asignatura 9
Oftalmoscopia/Otoscopia / Sesión Ekg 1,Asignatura 10
Histología de hipofisis,Asignatura 9
chequeo semanal,Asignatura 9
Farmacodinamia del SN autónomo,Asignatura 9
Aferencias viscerales ,Asignatura 3
C-SM Biología del desarrollo del sistema reproductor,Asignatura 6
"Anfiteatro pared toracica, mediastino, hilio pulmonar  /Laboratorio pulmón",Asignatura 1
Semiología auditiva y vestibular ,Asignatura 9
Miastenia gravis (Inclusión social discapacidad),Asignatura 1
Primera evaluación sistemas y metabolismo I,Asignatura 3
Obesidad monogénica,Asignatura 1
Fibra Nerviosa,Asignatura 1
Evaluación 1 - Semanas 1 a 6 - Temas 1-30. Casos 1-5,Asignatura 10
Estudios imagenológicos de la columna,Asignatura 9
Examen final ,Asignatura 1
Primera evaluación oral parte grupal 6. Enfermedad obstructiva,Asignatura 1
Sistemas membranosos y síntesis de proteínas ,Asignatura 1
Cardiopatía congénita,Asignatura 4
"Genitales ambiguos/ Hiperplasia suprarrenal congénita (Impacto hidroelectrolítico, ácido-base y en el desarrollo sexual)",Asignatura 6
Taller: Ventilación pulmonar y Mécanica ventilatoria Viernes,Asignatura 2
Taller anfiteatro de pares craneanos motores,Asignatura 9
Taller: Ruta de las pentosas  y  ciclo de Krebs,Asignatura 4
Taller Sistema cardiovascular y su contexto,Asignatura 3
Examen final oral primer semestre ,Asignatura 2
Histología de pulmón,Asignatura 1
Examen final oral,Asignatura 3
Cáncer de Piel,Asignatura 1
Evaluación oral,Asignatura 1
Examen parcial práctico,Asignatura 7
Pelvis blanda y periné,Asignatura 7
Mecanismos para mantener la hemostasia. Sobrecoagulación,Asignatura 10
Revisión de los antecedentes del problema de investigación.,Asignatura 3
Esferocitosis - esplenectomía,Asignatura 1
Determinantes y factores de riesgo II,Asignatura 3
C-SM Estructuras y mecanismos involucrados en la micción 1,Asignatura 6
Taller  miembro inferior3,Asignatura 9
El Reto de la Historia Clínica en la práctica Médica - SAHI ACADEMICO,Asignatura 10
Examen final oral,Asignatura 4
Semiología Ruidos Cardiacos / Sesión Ekg 2.,Asignatura 10
Modelado vías de administración ,Asignatura 2
EXAMEN PRACTICO CMC Y FPC III,Asignatura 9
Taller de dolor toracico. Grupo Jueves,Asignatura 2
Cardio arritmia,Asignatura 1
Enamoramiento,Asignatura 1
Seguimiento de tutores,Asignatura 3
Silicoantracosis,Asignatura 1
Seguimiento de tutores,Asignatura 3
Expresando la Medicina I  Grupo 1 -Gratitud /Grupo 2 Comunicación sin daño,Asignatura 9
Actividad integradora 12 CIERRE,Asignatura 9
Examen teórico CMC,Asignatura 9
Laboratorio de fisiología muscular,Asignatura 7
Ética y maltrato,Asignatura 10
Sistema de Seguridad Social Colombiano (Sistema de Gestión de Riesgo),Asignatura 7
Valvulopatía arritmia,Asignatura 1
Corrientes Biológicas,Asignatura 1
Tutoria 3 Semiologia Abdomen,Asignatura 10
Mecanismos para modificar la motilidad gastrointestinal. ,Asignatura 5
Taller de exploración psicopatológica 1: Entrevista clínica psiquiátrica ,Asignatura 9
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Comunicación,Asignatura 1
Niveles de prevención Prevención primaria - Prevención secundaria,Asignatura 7
Rutas oxidativas de los aminoácidos y ciclo de la urea ,Asignatura 4
Envejecimiento Neurológico y cognitivo,Asignatura 9
Patologia infecciones pulmonares (-Patología y neumo),Asignatura 1
Abordaje del paciente con síntomas ansiosos,Asignatura 10
Semiología general y errores frecuentes en aproximación inicial al paciente,Asignatura 7
Semana reflexión,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Taller de cráneo -cara anfiteatro,Asignatura 9
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
2a Evaluación sustentación integradoras grupal,Asignatura 6
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Endocinología e Inmunología,Asignatura 1
Semiología Ruidos Cardiacos / Sesión Ekg 2.,Asignatura 10
Estructura y función de azúcares,Asignatura 1
Sesión Ekg 4. /ejercicios integradores cardio respiratorio/ Rx tórax,Asignatura 10
Estudio-repaso- anatomia/histologia y patología,Asignatura 4
"Pared abdominal, cavidad oral, faringe, esófago, estómago y bazo",Asignatura 7
Circuitos cardiovasculares,Asignatura 1
Anatomía de la cara,Asignatura 9
Reproductor masculino,Asignatura 7
Aspectos clínicos de la enfermedad renal crónica,Asignatura 7
"Anfiteatro pared toracica, mediastino, hilio pulmonar  /Laboratorio pulmón",Asignatura 1
Simposio bloque naranja,Asignatura 4
Bioelectricidad,Asignatura 1
Trastornos de oxigenación y ventilación/Vía aérea,Asignatura 10
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Motilidad gastrointestinal,Asignatura 4
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Evaluación semestre,Asignatura 10
Repaso Neuroanatomía - histología,Asignatura 9
24. Laboratorio de Resistencia Antimicrobiana - Grupo A,Asignatura 10
17. Dislipidemia,Asignatura 4
Evaluación funcional de la respuesta autónoma,Asignatura 9
Examen final poblacion y salud,Asignatura 4
Laboratorio histología de oido,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Sangre y sus componentes 1 y 2,Asignatura 4
Estructuras microscópicas riñón y vías urinarias 1,Asignatura 6
"Agresividad, impulsividad: bases biológicas y psicopatología ",Asignatura 9
OSCE 1,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
4. EVALI,Asignatura 1
Taller de Historia Clínica. Grupo Viernes,Asignatura 2
Hematemesis/ Enf. Ulcerosa- péptica,Asignatura 5
Obesidad,Asignatura 4
Cavidad abdominopélvica,Asignatura 7
Caso 13. SNC - Meningitis,Asignatura 10
Pelvis blanda y periné,Asignatura 7
Caso 14. S.locomotor - Reumatología,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Oliguria/ Lesión renal secundaria a hipovolemia,Asignatura 6
Examen teórico práctico de FPC III,Asignatura 9
Transporte activo,Asignatura 1
3a Evaluación sustentación integradoras grupal,Asignatura 7
Taller de anatomía  e histología de ojo,Asignatura 9
Valvulopatía arritmia,Asignatura 1
C-SM Biología del desarrollo de tracto gastrointestinal 1,Asignatura 4
Actividad integradora - demencia,Asignatura 9
Semiología y psicopatología de la conducta alimentaria,Asignatura 9
chequeo semanal,Asignatura 9
Taller de cálculos - Dosificación de medicamentos ,Asignatura 1
Sesión Ekg 4. /ejercicios integradores cardio respiratorio/ Rx tórax,Asignatura 10
Chequeo 7,Asignatura 9
Fisiopatología del dolor abdominal,Asignatura 7
Reunión con tutores,Asignatura 3
Examen teórico práctico de FPC III,Asignatura 9
Tallo y cerebelo,Asignatura 7
Lugar de vivienda como determinante social ,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Actividad integradora - Movimientos anormales,Asignatura 9
Supletorios evaluaciones semanales SYM2 y sesiones integradoras (productos)  1er módulo,Asignatura 6
Traslado de pacientes ,Asignatura 2
Relación del médico con la industria,Asignatura 10
Seguimiento de tutores,Asignatura 3
"EVALUACIÓN 2° PERIODO
9-11 am",Asignatura 7
"Genitales ambiguos/ Hiperplasia suprarrenal congénita (Impacto hidroelectrolítico, ácido-base y en el desarrollo sexual)",Asignatura 6
C-SM Secreción y absorción del agua y los electrolitos a nivel del TGI,Asignatura 5
Presentación  IV sem  CMC. Presentación  IV sem  FPC III,Asignatura 9
18. Piel - Fisiopatología,Asignatura 10
Evaluación final  práctica. Sitemas y Metabolismo1 (Anatomia-histologia-patologia) Retroalimentación del examen,Asignatura 4
Primera evaluacion teórica  fundamentos de la clínica,Asignatura 1
Trabajo como determinante social,Asignatura 1
Simposio bloque naranja,Asignatura 4
EXAMEN TEÓRICO CMC,Asignatura 9
Presentación caso de fisiología para la evaluación,Asignatura 4
Patología del sistema reproductor masculino,Asignatura 7
Prácticas libres Estudiantes,Asignatura 10
Taller regulacion neurobiológica de la función metabolica,Asignatura 9
Presentacion Autopsias V semestre,Asignatura 10
Taller de examen neurológico completo,Asignatura 9
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Fibrosis quística,Asignatura 1
Taller de anatomía vias de respuesta autónoma,Asignatura 9
Primera evaluación oral parte grupal 6. Enfermedad obstructiva,Asignatura 1
Actividad integradora -dolor,Asignatura 7
Fundamentos de electrocardiografía,Asignatura 1
Retinoides,Asignatura 10
Todos los quices supletorios   ,Asignatura 4
Supletorios IV sem CMC y FPC III,Asignatura 7
Tercer examen parcial -Tercera correlación clínica,Asignatura 10
 Cardiopatía hipertensiva izquierda y derecha ( MD interna),Asignatura 4
18. Obesidad,Asignatura 4
Anatomía funcional de intestinos y páncreas,Asignatura 5
Actividad integradora 7 ENDOCRINO,Asignatura 9
Expresando la Medicina I  Grupo 1 -Gratitud /Grupo 2 Comunicación sin daño,Asignatura 9
12. Falla Cardiaca,Asignatura 4
03-04. Maduración Linfocitos T y B,Asignatura 9
Simposio bloque naranja,Asignatura 4
Introducción a la medicina basada en la evidencia y pregunta PICO,Asignatura 10
chequeo semanal,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
"Anatomía e histología de orbita, ojo, párpados y vías lacrimales ",Asignatura 7
Inteligencia artificial,Asignatura 7
Cólera,Asignatura 1
Primera evaluación oral parte grupal 6. Enfermedad obstructiva,Asignatura 1
Actividad integradora - demencia,Asignatura 9
Hematoquecia /Sangrado de vías digestivas bajas (énfasis en patología neoplásica),Asignatura 5
Patrones no mendelianos,Asignatura 1
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
11. HTA -IAM,Asignatura 4
EXAMEN ORAL,Asignatura 10
Protaglandibnas y eicosanoides,Asignatura 4
Taller: Ventilación pulmonar y Mécanica ventilatoria Viernes,Asignatura 2
C-SMI Integración e interacciones de los ejes hipofisiarios,Asignatura 7
Sexo y genero como determinante social,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
"C-SM Organización microscópica, cavidad oral",Asignatura 4
Evaluación oral,Asignatura 1
Imágenes diagnósticas en el estudio de dolor abdominal,Asignatura 10
C-SM Organización microscópica del páncreas (Relación exocrino-endocrino),Asignatura 4
5. TBC,Asignatura 1
Evaluación Eficacia de los medicamentos,Asignatura 10
Examen parcial teórico,Asignatura 7
Supletorios evaluaciones semanales y sesiones integradoras (productos)  3° módulo,Asignatura 7
Disco Bilaminar,Asignatura 1
Taller de malformaciones,Asignatura 7
Pelvis blanda y periné,Asignatura 7
Taller de liquidos y electrolitos,Asignatura 1
Debilidad e ictericia / Cirrosis ,Asignatura 5
"Generalidades S. Gastrointestinal, boca, faringe, esófago y estómago",Asignatura 4
Segunda evaluación,Asignatura 4
Hematemesis/ Enf. Ulcerosa- péptica,Asignatura 5
Taller anfiteatro de oido,Asignatura 7
Segunda Evaluación Teoríca Sistemas y Metabolismo I,Asignatura 2
40. Laboratorio de Hematologia - Grupo A,Asignatura 10
Motilidad gastrointestinal,Asignatura 4
Anatomía patológica del tracto gastrointestinal  (Hígado),Asignatura 5
Falla cardiaca,Asignatura 1
Neurobiología de la conducta,Asignatura 9
Estructura de los servicios de salud con enfoque en el paciente,Asignatura 10
"Estudios epidemiológicos descriptivos (reportes de caso, series de casos y transversales)",Asignatura 7
Región supraclavicular,Asignatua 4
"Composicion Corporal  (antropometria ), gasto energético y metabolismo.",Asignatura 4
13. Cardiopatía congénita,Asignatura 4
Expresando la Medicina I  Grupo 1 -Gratitud /Grupo 2 Comunicación sin daño,Asignatura 9
Reunión con tutores,Asignatura 3
Generalidades de la semiología abdominal,Asignatura 7
Embarazo y control prenatal - Situaciones integradoras,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Cuidado de la casa común,Asignatura 2
Repaso histología,Asignatura 9
Organización microscópica del hueso,Asignatura 7
Medicamentos antiTBC,Asignatura 10
Semiologia Ruidos Respiratorios /Rx tórax/ Sesión Ekg 3.,Asignatura 10
Evaluación final  práctica. Sitemas y Metabolismo1 (Anatomia-histologia-patologia) Retroalimentación del examen,Asignatura 4
Pruebas diagnóstica,Asignatura 10
Taller de miembro superior,Asignatura 9
La célula como sistema,Asignatura 1
Introducción (Antecedentes y Justificación).,Asignatura 3
Hematemesis/ Enf. Ulcerosa- péptica,Asignatura 4
Embriología de cara,Asignatura 3
3. Herida cervical,Asignatua 4
Procedimientos SNG /IM Acceso venoso / Especuloscopía/sonda vesical,Asignatura 10
Cavidad abdominopélvica,Asignatura 7
Anfiteatro pulmones/Laboratorio  de vasos-  Laboratorio histología de vasos grupos 2,Asignatura 1
Seguimiento de tutores,Asignatura 3
Examen parcial práctico,Asignatura 7
Etapas de la vida- Explicación biológica,Asignatura 1
Circulación cerebral y LCR,Asignatura 7
Taller sondas vesicales,Asignatura 7
Hipertensión secundaria,Asignatura 10
16. Malnutrición,Asignatura 4
Examen final oral primer semestre ,Asignatura 2
Cancer como ejemplo de integración de los Determinantes sociale,Asignatura 1
Casos relevantes en patología renal,Asignatura 6
 Micronutrientes (Ciclo de un Carbono),Asignatura 4
Tutorías Clínica Grupo Viernes,Asignatura 2
Reunión con tutores,Asignatura 3
40. Laboratorio de Hematologia - Grupo B,Asignatura 10
Bioética,Asignatura 10
Taller de anatomía vias de respuesta autónoma,Asignatura 9
Evaluación de la asignatura y examen final - lavado de manos,Asignatura 2
Introducción (Antecedentes y Justificación).,Asignatura 3
Reunión con tutores,Asignatura 3
1. Contaminación,Asignatua 4
Estructuras microscópica hígado y vesícula biliar,Asignatura 5
Introducción (Antecedentes y Justificación).,Asignatura 3
Comunicación,Asignatura 1
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Fisiología materna durante la gestación,Asignatura 7
Presentación videos,Asignatura 9
50. Laboratorio Uroanálisis - Grupo A,Asignatura 10
Caso 04. OTRL - Ojo Rojo,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
 Mecanismos potenciales para intervenir el eje hipotálamo - hipofisiario - ovárico.,Asignatura 7
actividad integradora -endocrino,Asignatura 9
Revisión de Notas,Asignatura 3
Taller de miembro superior 3 y 4,Asignatura 9
Vías descendentes de la medula espinal ,Asignatura 7
Tutorías Clínica Grupo Viernes,Asignatura 2
Sistema de salud como DSS ,Asignatura 1
Teoría general de sistemas,Asignatura 1
Fenómenos tisulares,Asignatura 1
"14. Diagnostico Clinico, Paraclínico Microorganismos",Asignatura 10
Presentación videos,Asignatura 9
Tercer examen parcial -Tercera correlación clínica,Asignatura 10
El estrés como respuesta autónoma,Asignatura 9
Gametogénesis,Asignatura 1
Cardiopatías congénitas  o adquirida. Usando las piezas de patología,Asignatura 4
Pronóstico,Asignatura 10
Examen teórico CMC,Asignatura 9
Taller Semiología Respiratoria,Asignatura 2
Cáncer de Piel,Asignatura 1
Orientación para el examen final,Asignatura 1
Conceptos básicos de inferencia causal aplicados a ENT I,Asignatura 3
Actividad integradora - glaucoma,Asignatura 7
Expresando la Medicina,Asignatura 10
Ácidos nucléicos,Asignatura 1
"C-SM Farmacocinética: Eliminación de Fármacos, Concentración en estado estable, Vida media.",Asignatura 6
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Síndrome de intestino irritable,Asignatura 10
Examen final SYM1,Asignatura 4
Lab. Fisiología de la respuesta autónoma,Asignatura 9
Pares craneanos Taller,Asignatura 9
Primera evaluacion teórica  fundamentos de la clínica,Asignatura 1
Actividad integradora- miembro inferior - SN autonomo,Asignatura 9
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Segunda evaluación teórica fundamentos de la clinica,Asignatura 4
C-SM Organización microscópica del sistema reproductor femenino 2,Asignatura 7
Repaso CMC,Asignatura 9
OSCE 1,Asignatura 10
Taller de caracterización de vulnerabilidad (Primer avance),Asignatura 9
Trastornos convulsivos,Asignatura 10
Citoesqueleto,Asignatura 1
47. Sindromes ulcerativos bacterianos,Asignatura 10
Actividad integadora - Afecto,Asignatura 9
Estructuras macroscópicas riñón y vías urinarias ,Asignatura 6
"Ténicas histologicas (Placas de los diferentes tejidos. Taller de Técnica Histologíca: H-E, Mallory, PAS y ME ,inmunohistoquimica)",Asignatura 1
Neumonia adquirida en la comunidad - Adultos - Situaciones integradoras,Asignatura 10
Semiología Ruidos Cardiacos / Sesión Ekg 2.,Asignatura 10
"Anfiteatro región supraclavicular, superficial de cuello, tiroides y vascular de cuello/ Laboratorio histología de tiroides",Asignatura 1
Estructuras microscópicas riñón y vías urinarias 1,Asignatura 6
"Examen práctico histología, neuroanatomía y PFPC III",Asignatura 9
Examen final oral primer semestre ,Asignatura 2
Chequeo semanal,Asignatura 7
Tutoria 3 Semiologia Abdomen,Asignatura 10
Taller de exploración psicopatológica 1: Entrevista clínica psiquiátrica ,Asignatura 9
Taller sondas vesicales,Asignatura 7
Transducción de señales lumínicas,Asignatura 7
Ciclo de Krebs,Asignatura 4
"Taller de exploración psicopatológica 5. Pensamiento, lenguaje y sensopercepción",Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
Simposio bloque naranja,Asignatura 4
Espacio de trabajo videos,Asignatura 9
Diferencias entre procariotes y eucariotes,Asignatura 1
Festivo,Asignatura 10
Evaluación final práctico,Asignatura 7
Medidas de resumen y presentación de datos (ejercicios de R),Asignatura 3
Taller huesos craneo y cara- nariz- senos paranasales- Mesa Sectra,Asignatua 4
Aspectos clínicos de la lesión renal aguda,Asignatura 7
Embriología organos de los sentidos: ojo y oído,Asignatura 9
Hidrodinámica corporal: fenómenos celulares,Asignatura 1
Antibióticos en piel,Asignatura 10
Valvulopatía arritmia,Asignatura 1
"Intestino delgado y grueso, páncreas e hígado",Asignatura 7
"Fosas nasales, paredes y relaciones ",Asignatura 3
C-SM Digestión y absorción 1,Asignatura 5
Cavidad abdominopélvica,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tejido muscular 1 y 2,Asignatura 1
Retos farmacológicos en osteoporosis,Asignatura 10
Supletorios CMC - FPC III - S y V,Asignatura 9
Sistemas reproductores femenino y masculino (2110),Asignatura 7
7. Silicoantracosis,Asignatura 1
"Buena prescripción, polimedicación y desprescripción en el anciano",Asignatura 10
Expresión génica diferencial,Asignatura 1
Errores Innatos del Desarrollo y Crecimiento Morfogenético,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Segundo parcial ,Asignatura 1
Actividad integradora - Movimientos anormales,Asignatura 9
"Estudios epidemiológicos descriptivos (reportes de caso, series de casos y transversales)",Asignatura 7
Simposio bloque naranja,Asignatura 4
Actividad integradora  8 MIEMBRO INFERIOR,Asignatura 9
Caso 14. S.locomotor - Reumatología,Asignatura 10
Generalidades de la evaluación clínica ostemuscular. Semiología osteomuscular del dorso y la columna,Asignatura 9
Enamoramiento,Asignatura 1
Expresando la Medicina IV Grupo 1 Compasión y vulnerabilidad / Grupo 2 Medicina Narrativa,Asignatura 9
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Cefaleas - Situaciones integradoras,Asignatura 10
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
Taller de exploración psicopatológica 4: Valoración de la memoria y las funciones ejecutivas,Asignatura 9
Lucía y el samán entre la vida y la muerte ,Asignatura 1
Farmacodinamia de medicamentos que regulan el pensamiento ,Asignatura 9
10. Valvulopatia/Arritmia,Asignatura 4
Gastrulación,Asignatura 1
Evaluación final escrita,Asignatura 1
EXAMEN PRACTICO CMC Y FPC III,Asignatura 9
Seguimiento de tutores,Asignatura 3
"Pared abdominal, cavidad oral, faringe, esófago, estómago y bazo",Asignatura 7
Organización microscópica del hueso,Asignatura 7
"Intestino delgado y grueso, páncreas e hígado",Asignatura 7
Alteraciones en el metabolismo del calcio + Taller - mecanismos potenciales para intervenir en la osteoporosis y el metabolismo fosfocálcico.,Asignatura 7
Vejez y Envejecimiento,Asignatura 1
Examen parcial práctico,Asignatura 7
Pruebas diagnósticas,Asignatura 10
Examen Parcial ,Asignatura 9
Estructuras macroscópicas riñón y vías urinarias ,Asignatura 6
Miembro superior 4,Asignatura 9
C-SM Neoplasias prevalentes del sistema reproductor femenino  (Útero),Asignatura 7
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Deficiencia de piruvato Carboxilasa ,Asignatura 4
Examen final,Asignatura 10
Escenarios Simulados con Debriefing,Asignatura 10
59. Otras sistémicas e Intrahospitalarias,Asignatura 10
"C-SM Adaptaciones puerperales y neonatales, lactancia",Asignatura 7
C-SM Función sexual femenina,Asignatura 7
Oftalmoscopia/Otoscopia / Sesión Ekg 1,Asignatura 10
Pared torácica,Asignatura 1
Presentación videos,Asignatura 9
Fisiopatología de los síntomas gástricos y semiología de las enfermedades gástricas mas comunes,Asignatura 7
Presentación Taller de vulnerabilidad,Asignatura 9
"Genitales ambiguos/ Hiperplasia suprarrenal congénita (Impacto hidroelectrolítico, ácido-base y en el desarrollo sexual)",Asignatura 6
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Oliguria/ Lesión renal secundaria a hipovolemia,Asignatura 6
OSCE 2,Asignatura 10
Reunión con tutores,Asignatura 3
Repaso Anfiteatro,Asignatura 7
EVALUACIÓN 1 T-P ,Asignatura 6
Fisiopatología de los síntomas intestinales y semiología de las enfermedades intestinales mas comunes,Asignatura 7
10-12. Reacciones de hipersensibilidad 1-4 y Tecnicas para evaluacion der Acs,Asignatura 10
Comparación estadística de riesgos y otros parámetros poblacionales,Asignatura 7
Enfermedad renal aguda y crónica,Asignatura 7
"Ténicas histologicas (Placas de los diferentes tejidos. Taller de Técnica Histologíca: H-E, Mallory, PAS y ME ,inmunohistoquimica)",Asignatura 1
Anfiteatro corazon y circulación coronaria/ Laboratorio histología de corazón grupos 2,Asignatura 1
Enzimas: Clasificación internacional de enzimas,Asignatura 1
Primera evaluación oral parte grupal 6. Enfermedad obstructiva,Asignatura 1
"Anfiteatro nariz senos paranasales, trigemino,fosa pterigopalatina y laringe/ Laboratorio de histología de via aerea superior/ 2 grupos",Asignatua 4
"Unidades, concentraciones y pH ",Asignatura 1
Uso seguro de vitaminas y minerales durante la gestación.,Asignatura 7
Seguimiento de tutores,Asignatura 3
Actividad integradora - demencia,Asignatura 9
Trabajo como determinante social,Asignatura 1
Examen final práctico CMC,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
Seguimiento de tutores,Asignatura 3
Antiarritmicos,Asignatura 1
Cardiopatía isquémica (Patologia-Md Interna )Meek,Asignatura 4
Supersistemas de control,Asignatura 1
INDUCCIÓN GENERAL COORDINACIÓN DEL SEMESTRE,Asignatura 10
Evaluación final escrita,Asignatura 1
Enfermedad de Chagas - Situación integradora,Asignatura 10
Inflamación,Asignatura 1
"Intestino delgado y grueso, páncreas e hígado",Asignatura 7
Diarrea / malabsorción,Asignatura 5
Evaluación de la validez y la reproducibilidad de las pruebas de tamización y diagnóstico,Asignatura 7
 Conceptos centrales en historia de la medicina: paradigmas y prácticas en salud II,Asignatura 1
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Génesis del potencial de Membrana,Asignatura 1
Taller de anatomía vias de respuesta autónoma,Asignatura 9
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Huesos del craneo (Fosa anterior y media),Asignatura 3
Seguimiento de tutores,Asignatura 3
Anfiteatro corazon y circulación coronaria/ Laboratorio histología de corazón grupos 2,Asignatura 1
Malnutrición,Asignatura 4
25. Inmnunidad Mucosa Respiratoria,Asignatura 10
Dolor torácico no coronario,Asignatura 1
Evaluación Corte 2,Asignatura 10
1a Evaluación sustentación integradoras grupal,Asignatura 5
Presentación estudiantes - tutoria 1,Asignatura 10
Seguimiento de tutores,Asignatura 3
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
C-SM Biología del desarrollo del sistema urinario 1,Asignatura 6
Anfiteatro pulmones/Laboratorio  de vasos-  Laboratorio histología de vasos grupos 2,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Histología funcional intestinal,Asignatura 5
Oftalmoscopia/Otoscopia / Sesión Ekg 1,Asignatura 10
EPOC - Situaciones integradoras,Asignatura 10
chequeo semanal,Asignatura 9
Modelado vías de administración ,Asignatura 2
EXAMEN ORAL,Asignatura 10
Taller: Ventilación pulmonar y Mécanica ventilatoria Jueves,Asignatura 2
Supletorios IV sem CMC y FPC III,Asignatura 7
"Anatomía e histología de orbita, ojo, párpados y vías lacrimales 
( parte 1)",Asignatura 9
Biosíntesis de AA,Asignatura 4
Conflicto armado y vulnerabilidad,Asignatura 9
C-SM Trastornos de la función glomerular,Asignatura 6
Chequeo 6,Asignatura 9
Teorías del origen de la vida - La noción de vida,Asignatura 1
Trauma de Tórax,Asignatura 2
Segunda evaluación práctica. Sitemas y Metabolismo1 (Anatomia-histologia-patologia) Retroalimentación del examen,Asignatura 4
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Desarrollo de medicamentos,Asignatura 1
Cuidado de la casa común,Asignatura 1
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Intervenciones para la modificación de comportamientos de riesgo,Asignatura 7
1a Evaluación sustentación integradoras grupal,Asignatura 6
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Clasificación internacional de enzimas,Asignatura 1
Hipertensión arterial - Situaciones integradoras,Asignatura 10
Trastornos túbulo intersticiales 1 y 2. Lesión renal aguda y enfermedad renal crónica (aspectos patológicos),Asignatura 6
C-SM Organización microscópica del sistema reproductor femenino 3,Asignatura 7
Segunda evaluación fundamentos biológicos,Asignatura 1
Infertilidad,Asignatura 1
9. Hipovolemia,Asignatura 1
PRMBE. Abordaje BGN CGP Farmacologia,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
